Customer ID,Customer Name,Gender,City,State,Region
C1001,Komal Mehta,F,Surat,Gujarat,West
C1002,Aarav Agarwal,Male,Coimbatore,Tamil Nadu,South
C1003,Divya Rao,F,Kolkata,West Bengal,East
C1004,Ishita Iyer,F,Chennai,Tamil Nadu,South
C1005,Yash Mehta,Male,Chennai,Tamil Nadu,South
C1006,Simran Agarwal,Female,Kolkata,West Bengal,East
C1007,Gaurav Gupta,Male,Chandigarh,Chandigarh,North
C1008,Pranav Malhotra,M,Ahmedabad,Gujarat,West
C1009,Priya Sharma,Female,Gurugram,Haryana,North
C1010,Aditya Reddy,Male,Mumbai,Maharashtra,West
C1011,Siddharth Das,Male,Indore,Madhya Pradesh,West
C1012,Ashish Sharma,Male,Noida,Uttar Pradesh,North
C1013,Ritika Reddy,F,Noida,Uttar Pradesh,North
C1014,Kunal Joshi,Male,Noida,Uttar Pradesh,North
C1015,Kunal Mukherjee,Male,New Delhi,Delhi,North
C1016,Sanjay Rao,Male,Lucknow,Uttar Pradesh,North
C1017,Varun Pillai,M,Mumbai,Maharashtra,West
C1018,Divya Mishra,Female,Chennai,Tamil Nadu,South
C1019,Aarav Bansal,Male,Kochi,Kerala,South
C1020,Pooja Kulkarni,Female,Kolkata,West Bengal,East
C1021,Sanjay Singh,Male,Lucknow,Uttar Pradesh,North
C1022,Nikhil Iyer,Male,Chandigarh,Chandigarh,North
C1023,Riya Bansal,Female,Chennai,Tamil Nadu,South
C1024,Manish Mehta,Male,Chennai,Tamil Nadu,South
C1025,Aditya Chopra,Male,Gurugram,Haryana,North
C1026,Kavya Kaur,Female,New Delhi,Delhi,North
C1027,Anjali Menon,Female, Gurugram  ,Haryana,North
C1028,Divya Mishra,F,Kolkata,West Bengal,East
C1029,Priya Agarwal,Female,Nagpur,Maharashtra,West
C1030,Aditi Mukherjee,F,Mumbai,Maharashtra,West
C1031,Kavya Khanna,F,Noida,Uttar Pradesh,North
C1032,Deepak Gupta,Male,Kochi,Kerala,South
C1033,Ritika Shah,Female,Hyderabad,Telangana,South
C1034,Mohit Menon,M, Mumbai  ,Maharashtra,West
C1035,Rajesh Pillai,M,Noida,Uttar Pradesh,North
C1036,Amit Kulkarni,M,Chennai,Tamil Nadu,South
C1037,Aditya Verma,Male,Bengaluru,Karnataka,South
C1038,Tarun Rao,Male,Bengaluru,Karnataka,South
C1039,Ritesh Shah,Male,Pune,Maharashtra,West
C1040,Aditya Chauhan,M,Patna,Bihar,East
C1041,Ishita Chauhan,Female,Hyderabad,Telangana,South
C1042,Karan Chopra,Male,Coimbatore,Tamil Nadu,South
C1043,Divya Bose,Female,Mumbai,Maharashtra,West
C1044,Komal Tiwari,Female,Coimbatore,Tamil Nadu,South
C1045,Anjali Nair,F,Ludhiana,Punjab,North
